task,layer,obf_level,obf_name,accuracy,n,n_bases
binding,-1,0,normalize,0.7572920417716961,2777,40
binding,-1,1,rename,0.33164739884393063,2768,40
binding,-1,2,opaque,0.40850463522773073,9924,40
binding,-1,3,encode,0.4223359595146357,17389,40
binding,-1,4,flatten,0.23691980630683832,25401,40
binding,0,0,normalize,0.9891969751530428,2777,40
binding,0,1,rename,0.29190751445086704,2768,40
binding,0,2,opaque,0.3218460298266828,9924,40
binding,0,3,encode,0.38576111334751856,17389,40
binding,0,4,flatten,0.1899137829219322,25401,40
binding,3,0,normalize,0.9996398991717681,2777,40
binding,3,1,rename,0.6072976878612717,2768,40
binding,3,2,opaque,0.6656590084643289,9924,40
binding,3,3,encode,0.7359825176835931,17389,40
binding,3,4,flatten,0.4077004842329042,25401,40
binding,7,0,normalize,1.0,2777,40
binding,7,1,rename,0.8684971098265896,2768,40
binding,7,2,opaque,0.854695687222894,9924,40
binding,7,3,encode,0.8455345333256656,17389,40
binding,7,4,flatten,0.5617101688909886,25401,40
binding,11,0,normalize,1.0,2777,40
binding,11,1,rename,0.8966763005780347,2768,40
binding,11,2,opaque,0.8535872632003224,9924,40
binding,11,3,encode,0.8450744723675887,17389,40
binding,11,4,flatten,0.6826896578874847,25401,40
binding,15,0,normalize,0.9989196975153043,2777,40
binding,15,1,rename,0.8847543352601156,2768,40
binding,15,2,opaque,0.857416364369206,9924,40
binding,15,3,encode,0.8417965380412905,17389,40
binding,15,4,flatten,0.707806779260659,25401,40
binding,19,0,normalize,1.0,2777,40
binding,19,1,rename,0.8703034682080925,2768,40
binding,19,2,opaque,0.8347440548166062,9924,40
binding,19,3,encode,0.8205762263499914,17389,40
binding,19,4,flatten,0.7474902562891225,25401,40
binding,23,0,normalize,0.9996398991717681,2777,40
binding,23,1,rename,0.7911849710982659,2768,40
binding,23,2,opaque,0.786981056025796,9924,40
binding,23,3,encode,0.7972856403473461,17389,40
binding,23,4,flatten,0.707767410731861,25401,40
binding,27,0,normalize,0.9996398991717681,2777,40
binding,27,1,rename,0.7716763005780347,2768,40
binding,27,2,opaque,0.7921201128577187,9924,40
binding,27,3,encode,0.7986658232215769,17389,40
binding,27,4,flatten,0.7495767883154206,25401,40
binding,31,0,normalize,0.9985595966870724,2777,40
binding,31,1,rename,0.7257947976878613,2768,40
binding,31,2,opaque,0.7433494558645707,9924,40
binding,31,3,encode,0.7872793145091724,17389,40
binding,31,4,flatten,0.7291838903980158,25401,40
defuse_edge,-1,0,normalize,0.7952082144894467,1753,40
defuse_edge,-1,1,rename,0.3704994192799071,1722,40
defuse_edge,-1,2,opaque,0.40853816300129364,3865,40
defuse_edge,-1,3,encode,0.4120662460567823,5072,40
defuse_edge,-1,4,flatten,0.2254414125200642,12460,40
defuse_edge,0,0,normalize,0.9880205362236166,1753,40
defuse_edge,0,1,rename,0.33042973286875726,1722,40
defuse_edge,0,2,opaque,0.30711513583441136,3865,40
defuse_edge,0,3,encode,0.3125,5072,40
defuse_edge,0,4,flatten,0.15513643659711077,12460,40
defuse_edge,3,0,normalize,0.9994295493439818,1753,40
defuse_edge,3,1,rename,0.7160278745644599,1722,40
defuse_edge,3,2,opaque,0.7190168175937904,3865,40
defuse_edge,3,3,encode,0.7287066246056783,5072,40
defuse_edge,3,4,flatten,0.38443017656500805,12460,40
defuse_edge,7,0,normalize,1.0,1753,40
defuse_edge,7,1,rename,0.8641114982578397,1722,40
defuse_edge,7,2,opaque,0.8473479948253557,3865,40
defuse_edge,7,3,encode,0.8294558359621451,5072,40
defuse_edge,7,4,flatten,0.5299357945425361,12460,40
defuse_edge,11,0,normalize,1.0,1753,40
defuse_edge,11,1,rename,0.7990708478513356,1722,40
defuse_edge,11,2,opaque,0.8082794307891332,3865,40
defuse_edge,11,3,encode,0.8150630914826499,5072,40
defuse_edge,11,4,flatten,0.6140449438202247,12460,40
defuse_edge,15,0,normalize,0.9988590986879635,1753,40
defuse_edge,15,1,rename,0.7967479674796748,1722,40
defuse_edge,15,2,opaque,0.79379042690815,3865,40
defuse_edge,15,3,encode,0.79948738170347,5072,40
defuse_edge,15,4,flatten,0.6817014446227929,12460,40
defuse_edge,19,0,normalize,1.0,1753,40
defuse_edge,19,1,rename,0.7990708478513356,1722,40
defuse_edge,19,2,opaque,0.7966364812419147,3865,40
defuse_edge,19,3,encode,0.814077287066246,5072,40
defuse_edge,19,4,flatten,0.7856340288924558,12460,40
defuse_edge,23,0,normalize,1.0,1753,40
defuse_edge,23,1,rename,0.8002322880371661,1722,40
defuse_edge,23,2,opaque,0.7790426908150064,3865,40
defuse_edge,23,3,encode,0.805993690851735,5072,40
defuse_edge,23,4,flatten,0.7426966292134831,12460,40
defuse_edge,27,0,normalize,0.9982886480319453,1753,40
defuse_edge,27,1,rename,0.6852497096399536,1722,40
defuse_edge,27,2,opaque,0.6985769728331177,3865,40
defuse_edge,27,3,encode,0.7797712933753943,5072,40
defuse_edge,27,4,flatten,0.7556982343499198,12460,40
defuse_edge,31,0,normalize,0.9942954934398175,1753,40
defuse_edge,31,1,rename,0.6643437862950058,1722,40
defuse_edge,31,2,opaque,0.7705045278137128,3865,40
defuse_edge,31,3,encode,0.8095425867507886,5072,40
defuse_edge,31,4,flatten,0.851123595505618,12460,40
